gene	avg_logFC	p_val	p_adj_FDR	pct.1	pct.2	pct.2_mean	pct_ratio	pct_ratio_mean	comparison	comparison_logFC	comparison_FDR	comparison_pct.2
SST	1.90366342638825	7.54690117887633e-18	1.98369665064878e-17	0.264	0.004	0.00185714285714286	0.0151515151515152	0.00703463203463203	c6	c5	c7	c8
DGKI	0.43584741114748	7.54690117887633e-18	1.98369665064878e-17	0.264	0.001	0.000142857142857143	0.00378787878787879	0.000541125541125541	c6	c8	c7	c8
DUSP26	0.413585296508436	7.54690117887633e-18	1.98369665064878e-17	0.264	0.002	0.000857142857142857	0.00757575757575758	0.00324675324675325	c6	c3	c7	c3
ADGRF5	0.710219582454405	7.54690117887633e-18	1.98369665064878e-17	0.264	0.022	0.00642857142857143	0.0833333333333333	0.0243506493506493	c6	c5	c7	c5
FZD9	0.431941985872285	7.54690117887633e-18	1.98369665064878e-17	0.264	0.012	0.00628571428571429	0.0454545454545455	0.0238095238095238	c6	c2	c7	c1
NR0B1	0.396955321201841	1.29007529477375e-17	3.35348301763011e-17	0.276	0.011	0.007	0.0398550724637681	0.0253623188405797	c6	c4	c7	c5
NRXN1	0.375879023274572	4.28689740818326e-17	1.0615711739738e-16	0.253	0.014	0.00242857142857143	0.0553359683794466	0.0095990965556183	c6	c8	c7	c8
ELAVL4	0.361160322918787	4.28689740818326e-17	1.0615711739738e-16	0.253	0	0	0	0	c6	c2	c7	c2
RBFOX1	0.344061893029627	4.28689740818326e-17	1.0615711739738e-16	0.253	0.002	0.000571428571428571	0.00790513833992095	0.00225861095426313	c6	c2	c7	c2
NRCAM	0.292143994721873	4.28689740818326e-17	1.0615711739738e-16	0.253	0.025	0.00985714285714286	0.0988142292490119	0.038961038961039	c6	c2	c7	c1
CRMP1	0.42182170882507	4.91780076859242e-17	1.20668853278891e-16	0.31	0.057	0.017	0.183870967741935	0.0548387096774194	c6	c1	c1	c1
IGF1	0.700009961894461	6.11495621591385e-17	1.49653414802989e-16	0.287	0.046	0.00842857142857143	0.160278745644599	0.0293678446988552	c6	c5	c5	c5
NCAM1	0.386113586642392	1.2768990133144e-16	3.06520911104297e-16	0.287	0.022	0.011	0.0766550522648084	0.0383275261324042	c6	c1	c7	c1
FOXA2	0.418327305102691	2.41379670723371e-16	5.67136754433687e-16	0.241	0.02	0.00542857142857143	0.0829875518672199	0.022525192649674	c6	c8	c7	c8
CALCA	3.34826920512827	3.38686044730635e-16	7.90827712385924e-16	0.356	0.042	0.0181428571428571	0.117977528089888	0.0509630818619583	c6	c7	c7	c7
STAP1	0.779479715074423	3.96787697000469e-16	9.24201046726341e-16	0.253	0.009	0.00428571428571429	0.0355731225296443	0.0169395821569735	c6	c8	c7	c8
NREP	0.806196635179187	4.41055619271289e-16	1.02351008072573e-15	0.322	0.033	0.0187142857142857	0.102484472049689	0.0581188997338066	c6	c3	c7	c1
SMOC1	0.392084262568987	1.18793163440441e-15	2.6903578049929e-15	0.276	0.019	0.00857142857142857	0.0688405797101449	0.031055900621118	c6	c3	c7	c3
MAL	0.481884136568009	1.34742912110146e-15	3.01171212103676e-15	0.23	0.006	0.00128571428571429	0.0260869565217391	0.00559006211180124	c6	c5	c7	c5
LINC00261	0.433142557625104	1.34742912110146e-15	3.01171212103676e-15	0.23	0	0	0	0	c6	c2	c7	c2
INSM1	0.395973188201439	1.34742912110146e-15	3.01171212103676e-15	0.23	0.001	0.000428571428571429	0.00434782608695652	0.00186335403726708	c6	c8	c7	c4
SNAP25	0.388063876924257	1.34742912110146e-15	3.01171212103676e-15	0.23	0.003	0.00157142857142857	0.0130434782608696	0.00683229813664596	c6	c3	c7	c5
OR51E1	0.334146014026758	1.34742912110146e-15	3.01171212103676e-15	0.23	0.003	0.000714285714285714	0.0130434782608696	0.0031055900621118	c6	c3	c7	c3
KIF5C	0.297685395741788	1.34742912110146e-15	3.01171212103676e-15	0.23	0.002	0.000857142857142857	0.00869565217391304	0.00372670807453416	c6	c2	c7	c2
TCERG1L	0.391709330172452	2.52768353120627e-15	5.58345118043451e-15	0.241	0.025	0.0102857142857143	0.103734439834025	0.042679312388856	c6	c3	c7	c1
FAM131C	0.580069128988551	3.96918892524538e-15	8.70630950735642e-15	0.264	0.024	0.0132857142857143	0.0909090909090909	0.0503246753246753	c6	c5	c7	c5
CAMK2N1	0.420070913595924	4.48790097396974e-15	9.73067930070398e-15	0.276	0.028	0.009	0.101449275362319	0.0326086956521739	c6	c1	c7	c1
LINC01187	0.544026751255405	7.45811672066468e-15	1.58243243159988e-14	0.218	0.001	0.000142857142857143	0.00458715596330275	0.000655307994757536	c6	c4	c7	c4
NOL4	0.255937395007291	7.45811672066468e-15	1.58243243159988e-14	0.218	0	0	0	0	c6	c2	c7	c2
INA	0.316985616653994	7.45811672066468e-15	1.58243243159988e-14	0.218	0.01	0.00228571428571429	0.0458715596330275	0.0104849279161206	c6	c1	c7	c1
MMP11	0.307164139974456	7.94590448294406e-15	1.67647895032519e-14	0.287	0.052	0.0251428571428571	0.181184668989547	0.0876057740169238	c6	c3	c3	c1
ATP6V0D2	0.480845901677214	1.72063866071143e-14	3.55850764775704e-14	0.241	0.008	0.00157142857142857	0.033195020746888	0.00652045050385299	c6	c7	c7	c7
DPP10	0.416645407879284	1.90705006457101e-14	3.92247893062585e-14	0.287	0.051	0.0304285714285714	0.177700348432056	0.106022896963664	c6	c2	c7	c1
SYP	0.346393022365261	1.96743305292083e-14	4.03345207581373e-14	0.299	0.036	0.022	0.120401337792642	0.0735785953177257	c6	c3	c7	c1
TMPRSS11E	1.00249188865037	2.06380491895561e-14	4.22182701899398e-14	0.253	0.011	0.004	0.0434782608695652	0.0158102766798419	c6	c7	c7	c7
AVIL	0.386678699367901	2.16999919288449e-14	4.4342437361657e-14	0.276	0.051	0.0357142857142857	0.184782608695652	0.129399585921325	c6	c2	c5	c5
ATP6V1G3	0.853181548268628	4.09400128625613e-14	8.15334436056512e-14	0.207	0.002	0.00128571428571429	0.00966183574879227	0.0062111801242236	c6	c3	c7	c4
NR0B2	0.374670873181096	4.09400128625613e-14	8.15334436056512e-14	0.207	0.003	0.000857142857142857	0.0144927536231884	0.0041407867494824	c6	c5	c7	c5
SYT13	0.29185507415196	4.09400128625613e-14	8.15334436056512e-14	0.207	0.006	0.001	0.0289855072463768	0.00483091787439614	c6	c5	c7	c5
PCSK1	0.272611397462328	4.09400128625613e-14	8.15334436056512e-14	0.207	0.001	0.000285714285714286	0.00483091787439614	0.00138026224982747	c6	c2	c7	c2
HOXB-AS3	0.331316202360713	7.19619444995861e-14	1.41222502135788e-13	0.218	0.004	0.00285714285714286	0.018348623853211	0.0131061598951507	c6	c3	c7	c1
MYH7B	1.01298691343533	9.84373077407697e-14	1.91185772103332e-13	0.23	0.015	0.00971428571428571	0.0652173913043478	0.0422360248447205	c6	c3	c7	c3
CLCNKA	0.729386796299376	4.01860253370739e-13	7.44390744924933e-13	0.276	0.027	0.00685714285714286	0.0978260869565217	0.0248447204968944	c6	c7	c7	c7
KCNJ6	0.308920999076537	1.13774568393893e-12	2.05493030438875e-12	0.241	0.015	0.00428571428571429	0.0622406639004149	0.01778304682869	c6	c7	c7	c7
CLCNKB	1.23574482711944	2.79168793708087e-12	4.84682352175848e-12	0.31	0.049	0.0135714285714286	0.158064516129032	0.043778801843318	c6	c7	c7	c7
AMACR	0.358881616685029	1.86087450260298e-11	3.0506670852777e-11	0.218	0.042	0.0274285714285714	0.192660550458716	0.125819134993447	c6	c8	c7	c8
PARVB	0.259338297829475	1.88550348562339e-11	3.08835296774868e-11	0.207	0.026	0.012	0.1256038647343	0.0579710144927536	c6	c3	c7	c3
TMEM255B	0.288881753143753	2.130233133786e-11	3.47408904487457e-11	0.207	0.012	0.00657142857142857	0.0579710144927536	0.0317460317460318	c6	c2	c7	c1
PDE11A	0.26961668015436	9.82830933072292e-11	1.50994923758535e-10	0.207	0.015	0.00485714285714286	0.072463768115942	0.0234644582470669	c6	c7	c7	c7
POU2F3	0.497002769401924	2.07629445406125e-08	2.71171836401338e-08	0.23	0.043	0.0348571428571429	0.18695652173913	0.151552795031056	c6	c3	c7	c4
